0.76411,0.76941,0.78018,0.79652,0.81799,0.84295,0.86818,0.88865,0.89853,0.89332,0.87204,0.83684,0.79204,0.74148,0.68874,0.63615,0.58544,0.53777,0.49389,0.45433,0.41946,0.38959,0.36502,0.34602,0.33274,0.32508,0.32268,0.32487,0.33067,0.33877,0.34762,0.35551,0.36064,0.36137,0.35642,0.34523
0.76941,0.78018,0.79652,0.81799,0.84295,0.86818,0.88865,0.89853,0.89332,0.87204,0.83684,0.79204,0.74148,0.68874,0.63615,0.58544,0.53777,0.49389,0.45433,0.41946,0.38959,0.36502,0.34602,0.33274,0.32508,0.32268,0.32487,0.33067,0.33877,0.34762,0.35551,0.36064,0.36137,0.35642,0.34523,0.32821
0.78018,0.79652,0.81799,0.84295,0.86818,0.88865,0.89853,0.89332,0.87204,0.83684,0.79204,0.74148,0.68874,0.63615,0.58544,0.53777,0.49389,0.45433,0.41946,0.38959,0.36502,0.34602,0.33274,0.32508,0.32268,0.32487,0.33067,0.33877,0.34762,0.35551,0.36064,0.36137,0.35642,0.34523,0.32821,0.30681
0.79652,0.81799,0.84295,0.86818,0.88865,0.89853,0.89332,0.87204,0.83684,0.79204,0.74148,0.68874,0.63615,0.58544,0.53777,0.49389,0.45433,0.41946,0.38959,0.36502,0.34602,0.33274,0.32508,0.32268,0.32487,0.33067,0.33877,0.34762,0.35551,0.36064,0.36137,0.35642,0.34523,0.32821,0.30681,0.28329
0.81799,0.84295,0.86818,0.88865,0.89853,0.89332,0.87204,0.83684,0.79204,0.74148,0.68874,0.63615,0.58544,0.53777,0.49389,0.45433,0.41946,0.38959,0.36502,0.34602,0.33274,0.32508,0.32268,0.32487,0.33067,0.33877,0.34762,0.35551,0.36064,0.36137,0.35642,0.34523,0.32821,0.30681,0.28329,0.26026
0.84295,0.86818,0.88865,0.89853,0.89332,0.87204,0.83684,0.79204,0.74148,0.68874,0.63615,0.58544,0.53777,0.49389,0.45433,0.41946,0.38959,0.36502,0.34602,0.33274,0.32508,0.32268,0.32487,0.33067,0.33877,0.34762,0.35551,0.36064,0.36137,0.35642,0.34523,0.32821,0.30681,0.28329,0.26026,0.2405
0.86818,0.88865,0.89853,0.89332,0.87204,0.83684,0.79204,0.74148,0.68874,0.63615,0.58544,0.53777,0.49389,0.45433,0.41946,0.38959,0.36502,0.34602,0.33274,0.32508,0.32268,0.32487,0.33067,0.33877,0.34762,0.35551,0.36064,0.36137,0.35642,0.34523,0.32821,0.30681,0.28329,0.26026,0.2405,0.22703
0.88865,0.89853,0.89332,0.87204,0.83684,0.79204,0.74148,0.68874,0.63615,0.58544,0.53777,0.49389,0.45433,0.41946,0.38959,0.36502,0.34602,0.33274,0.32508,0.32268,0.32487,0.33067,0.33877,0.34762,0.35551,0.36064,0.36137,0.35642,0.34523,0.32821,0.30681,0.28329,0.26026,0.2405,0.22703,0.22342
0.89853,0.89332,0.87204,0.83684,0.79204,0.74148,0.68874,0.63615,0.58544,0.53777,0.49389,0.45433,0.41946,0.38959,0.36502,0.34602,0.33274,0.32508,0.32268,0.32487,0.33067,0.33877,0.34762,0.35551,0.36064,0.36137,0.35642,0.34523,0.32821,0.30681,0.28329,0.26026,0.2405,0.22703,0.22342,0.23379
0.89332,0.87204,0.83684,0.79204,0.74148,0.68874,0.63615,0.58544,0.53777,0.49389,0.45433,0.41946,0.38959,0.36502,0.34602,0.33274,0.32508,0.32268,0.32487,0.33067,0.33877,0.34762,0.35551,0.36064,0.36137,0.35642,0.34523,0.32821,0.30681,0.28329,0.26026,0.2405,0.22703,0.22342,0.23379,0.26176
